vendedor,transacciones,cantidad_total,ingreso_total
raul guerrero,128,1271,1529425.12
hector lima,150,1577,1486924.08
susana palacios,169,1793,1448705.14
natalia rojas,163,1751,1388534.99
arturo sandoval,149,1621,1370730.28
rosa mendez,144,1427,1316261.57
ernesto campos,137,1453,1199519.76
graciela nunez,164,1735,1195223.33
patricia lara,157,1616,1159626.6
osvaldo ramos,147,1572,1144567.16
valeria fuentes,147,1566,1140348.89
jorge vargas,153,1595,1124364.81
perla guzman,145,1489,1050170.55
alejandro medina,165,1567,1035310.66
ivan espinoza,170,1747,1019945.26
rodrigo salinas,144,1472,1012687.74
miguel pena,136,1451,1005772.52
daniel cervantes,164,1681,964197.5
cecilia ortiz,165,1718,945247.51
marcos aguilar,154,1603,914229.37
samuel torres,122,1335,884419.73
estela cruz,139,1451,866429.78
bruno herrera,134,1479,838667.99
beatriz flores,138,1440,827961.12
lorena soto,142,1454,817832.67
adriana mendez,146,1570,762811.83
irene castillo,153,1581,759745.2
andres mora,151,1712,743733.41
claudia vega,112,1152,734678.51
diana reyes,150,1668,701424.81
norma ibarra,142,1549,695840.49
felipe rios,149,1617,674863.21
ramon delgado,128,1350,624274.75
carmen villanueva,143,1405,453415.74
