id_venta,fecha,producto,categoria,precio,cantidad,cliente,ciudad,sucursal,metodo_pago,vendedor,turno
1,2025-06-05,Grapadora,Papelería,123.3,15,Héctor Soto,Guadalajara,Sucursal Norte,Efectivo,Andrés Mora,Vespertino
2,2024-07-18,Carro de Juguete,Juguetes,296.21,3,Arturo Navarro,Guadalajara,Sucursal Centro,Tarjeta de Crédito,Claudia Vega,Nocturno
3,2024-05-15,Chocolate,Alimentos,78.38,13,Marco Sánchez,León,Sucursal Norte,Transferencia,Arturo Sandoval,Matutino
4,2024-04-29,Galletas,Alimentos,71.65,13,Camila Díaz,León,Sucursal Norte,Tarjeta de Crédito,Arturo Sandoval,Matutino
5,2025-10-02,Pelota de Fútbol,Deportes,466.17,9,Patricia Muñoz,Guadalajara,Sucursal Norte,Efectivo,Andrés Mora,Vespertino
6,2024-01-28,Sudadera,Ropa,256.91,10,Felipe Núñez,Tijuana,Sucursal Centro,Tarjeta de Débito,Valeria Fuentes,Vespertino
7,2025-12-14,Auriculares,Electrónica,1497.8,20,Pablo Álvarez,Monterrey,Sucursal Sur,Tarjeta de Crédito,Susana Palacios,Vespertino
8,2024-10-09,Shampoo,Belleza,196.58,6,Diego Cabrera,Ciudad de México,Sucursal Centro,Efectivo,Miguel Peña,Matutino
9,2024-06-04,Bolígrafo,Papelería,38.05,19,Rosa Ávila,Puebla,Sucursal Norte,Transferencia,Irene Castillo,Matutino
10,2025-01-21,Guantes de Box,Deportes,544.24,8,Sebastián Fuentes,Tijuana,Sucursal Norte,Efectivo,Carmen Villanueva,Vespertino
11,2025-12-09,Café,Alimentos,170.57,2,Lucía Ramos,Ciudad de México,Sucursal Sur,Tarjeta de Débito,Diana Reyes,Vespertino
12,2024-12-24,Jugo,Alimentos,54.94,12,Sandra Peña,Ciudad de México,Sucursal Centro,Tarjeta de Crédito,Miguel Peña,Matutino
13,2025-12-25,Carro de Juguete,Juguetes,287.96,4,Manuel Bravo,Tijuana,Sucursal Centro,Tarjeta de Crédito,Alejandro Medina,Matutino
14,2025-09-13,USB Flash Drive,Electrónica,161.81,19,Ximena Paredes,Guadalajara,Sucursal Centro,Tarjeta de Crédito,Claudia Vega,Nocturno
15,2025-04-18,Perfume,Belleza,973.25,8,Ximena Paredes,Tijuana,Sucursal Centro,Tarjeta de Crédito,Alejandro Medina,Matutino
16,2025-08-15,Detergente,Hogar,71.31,10,José Rodríguez,Tijuana,Sucursal Norte,Tarjeta de Crédito,Carmen Villanueva,Vespertino
17,2024-02-03,Carro de Juguete,Juguetes,374.27,16,Héctor Soto,Guadalajara,Sucursal Sur,Tarjeta de Débito,Estela Cruz,Vespertino
18,2025-06-22,Toalla,Hogar,88.94,1,Carlos López,Puebla,Sucursal Norte,Tarjeta de Débito,Irene Castillo,Matutino
19,2024-03-23,Almohada,Hogar,305.01,4,Alicia Ponce,Puebla,Sucursal Centro,Tarjeta de Crédito,Beatriz Flores,Nocturno
